iata_code,name,municipality,latitude_deg,longitude_deg,iso_country
ALA,Almaty International Airport,Almaty,43.352100,77.040497,KZ
NQZ,Nursultan Nazarbayev International Airport,Astana,51.022202,71.466904,KZ
CIT,Shymkent International Airport,Shymkent,42.364201,69.478897,KZ
AKX,Aktobe International Airport,Aktobe,50.245800,57.206699,KZ
GUW,Atyrau International Airport,Atyrau,47.121898,51.821400,KZ
KGF,Sary-Arka Airport,Karaganda,49.670799,73.334396,KZ
SCO,Aktau Airport,Aktau,43.860100,51.091900,KZ
DMZ,Taraz Airport,Taraz,42.853600,71.303596,KZ
PWQ,Pavlodar Airport,Pavlodar,52.195000,77.073898,KZ
URA,Oral Ak Zhol Airport,Oral,51.150799,51.543098,KZ
UKK,Oskemen Airport,Oskemen,50.036598,82.494202,KZ
KSN,Kostanay West Airport,Kostanay,53.206902,63.550301,KZ
KZO,Kyzylorda Airport,Kyzylorda,44.706902,65.592499,KZ
PPK,Petropavl Airport,Petropavl,54.774700,69.183899,KZ
PLX,Semey Airport,Semey,50.351299,80.234398,KZ
HSA,Hazret Sultan International Airport,Turkistan,43.313301,68.146896,KZ
KOV,Kokshetau Airport,Kokshetau,53.329102,69.594597,KZ
